feature,correlation_score,mutual_information,model_importance_gain,model_importance_split,permutation_importance,permutation_positive_folds,shap_importance,shap_mean_signed,votes,selected,removal_reason
Ret_252,0.007480473390253865,0.0012697318525749512,0.008075300359808387,0.019553571428571427,-0.00056537605481904,0.25,0.015918154696487132,0.0054485594050983025,2.0,False,permutation importance negative out-of-sample
sector_sma_ratio,0.013405223832659092,0.03378058233116099,0.006698546015691262,0.014375,-0.0003694387657566152,0.25,0.014281381520550415,0.0012513444681804921,3.0,False,permutation importance negative out-of-sample
sector_return_20,0.023252141903965226,0.031423710300032104,0.0038159508503034815,0.01017857142857143,-0.0008440855617290327,0.25,0.010517245155981843,0.0018204880897729565,3.0,False,permutation importance negative out-of-sample
daily_EMA_fast_vs_slow,0.002265468320201372,0.0,0.0017956669993386474,0.0038392857142857144,-0.00018556747184585162,0.25,0.006047256717102211,-0.001254068027485515,2.0,False,permutation importance negative out-of-sample
Vol_Ratio,-0.004465590961367215,0.0,0.002413402580322196,0.004642857142857143,-0.00046164145867774265,0.25,0.005156171519466024,-0.00048154230077529465,1.0,False,permutation importance negative out-of-sample
sector_momentum,0.023677939518459125,0.03364686528640104,0.001453569293997006,0.003660714285714286,-0.0010999794680061625,0.25,0.004519722033902254,-0.001132906939494144,1.0,False,permutation importance negative out-of-sample
SMA50_Ratio,0.0021424826697638787,0.0,0.0005329279182163468,0.0017857142857142857,4.7294704234428664e-05,0.25,0.003618772732920567,0.00020529109272335525,1.0,False,low agreement between selection methods
Ret_21,0.004530892181058736,0.0,0.0005594410701589292,0.0011607142857142858,3.687068018662827e-05,0.25,0.0031891217166131096,0.00015061081965657116,1.0,False,low agreement between selection methods
stock_vs_sector_return,-0.009313066613702167,0.0,0.0002352231337496947,0.0015178571428571428,7.38442301395174e-06,0.5,0.0027459996856191706,9.213333686169744e-05,1.0,False,low agreement between selection methods
Ret_63,0.0152518629492027,0.0,0.0009113568843926647,0.0026785714285714286,0.00020492859848908476,1.0,0.0025662396432432877,-0.0003413218860546342,1.0,False,low agreement between selection methods
stock_sector_relative_strength,-0.01032871495863357,0.0018626694180636783,0.0005330093510166997,0.0024107142857142856,9.611976373359125e-05,0.25,0.002422393135606178,0.00010453979039566104,1.0,False,low agreement between selection methods
india_vix_return,-0.007180683908036609,0.11329807329135577,0.000986363053945779,0.0030357142857142857,-6.347289088459254e-05,0.5,0.0022148778705505844,0.0002857281954174467,1.0,False,low agreement between selection methods
india_vix_change,-0.009807432619144688,0.045013832129339404,0.0007384647793850628,0.002232142857142857,-2.5870322362842035e-05,0.75,0.0019499577639423187,0.0002878031285431401,1.0,False,low agreement between selection methods
stock_nifty_relative_strength,-0.003928756700462005,0.0016739254658868497,0.0003831716128135046,0.0011607142857142858,-7.707499792211635e-05,0.25,0.001411630044791049,-4.0942562920241394e-05,0.0,False,permutation importance negative out-of-sample
SMA200_Ratio,0.022003300811448728,0.0026632063783287308,0.0007022741095556913,0.0014285714285714286,-0.00013032064534590032,0.0,0.0009809810325218523,0.0002069967430208943,0.0,False,permutation importance negative out-of-sample
MACD_Ratio,0.0011183238198938605,0.003460095246140993,0.00040120142803852195,0.0008928571428571428,-0.00011393787141679897,0.0,0.0009043787254571602,-0.00014806569913791674,1.0,False,permutation importance negative out-of-sample
Ret21_Z,0.006440304289171556,0.00018008217966181128,8.429394820426528e-05,0.0004464285714285714,6.284475892525307e-05,0.5,0.0008349677531914314,4.2760399688335804e-05,1.0,False,low agreement between selection methods
SMA20_Ratio,0.019053800186673967,0.0041272763075870245,0.0005344590450339379,0.0016071428571428571,-4.6122639576438445e-06,0.75,0.0008158947355506392,-0.00018109357672029837,1.0,False,low agreement between selection methods
