entry_date,exit_date,stock,weight,gross_return,net_return,cost
2025-06-25,2025-07-24,APOLLOHOSP.NS,0.02702702702702703,0.04401451255110356,0.041014512551103555,8.108108108108109e-05
2025-06-25,2025-07-24,DRREDDY.NS,0.02702702702702703,-0.03919365326669089,-0.04219365326669089,8.108108108108109e-05
2025-06-25,2025-07-24,BEL.NS,0.02702702702702703,-0.02433067457527105,-0.02733067457527105,8.108108108108109e-05
2025-06-25,2025-07-24,GODREJCP.NS,0.02702702702702703,0.027957473168051195,0.024957473168051195,8.108108108108109e-05
2025-06-25,2025-07-24,BHEL.NS,0.02702702702702703,-0.05049549978630852,-0.05349549978630852,8.108108108108109e-05
2025-06-25,2025-07-24,AUBANK.NS,0.02702702702702703,-0.08259388946260082,-0.08559388946260083,8.108108108108109e-05
2025-06-25,2025-07-24,ABCAPITAL.NS,0.02702702702702703,-0.020306242617279424,-0.023306242617279423,8.108108108108109e-05
2025-06-25,2025-07-24,MFSL.NS,0.02702702702702703,-0.061681279296293634,-0.06468127929629364,8.108108108108109e-05
2025-06-25,2025-07-24,ZENSARTECH.NS,0.02702702702702703,-0.022508626350074112,-0.02550862635007411,8.108108108108109e-05
2025-06-25,2025-07-24,HINDPETRO.NS,0.02702702702702703,0.06519607738683963,0.06219607738683963,8.108108108108109e-05
2025-06-25,2025-07-24,COROMANDEL.NS,0.02702702702702703,0.05033228838078019,0.047332288380780185,8.108108108108109e-05
2025-06-25,2025-07-24,JUBLFOOD.NS,0.02702702702702703,-0.08315954974025863,-0.08615954974025863,8.108108108108109e-05
2025-06-25,2025-07-24,PAGEIND.NS,0.02702702702702703,-0.022970475597333673,-0.025970475597333672,8.108108108108109e-05
2025-06-25,2025-07-24,POONAWALLA.NS,0.02702702702702703,-0.026868354166800223,-0.029868354166800223,8.108108108108109e-05
2025-06-25,2025-07-24,LTF.NS,0.02702702702702703,0.02896756027861147,0.02596756027861147,8.108108108108109e-05
2025-06-25,2025-07-24,MANAPPURAM.NS,0.02702702702702703,-0.010405250446842595,-0.013405250446842595,8.108108108108109e-05
2025-06-25,2025-07-24,MCX.NS,0.02702702702702703,-0.057594617852789076,-0.06059461785278908,8.108108108108109e-05
2025-06-25,2025-07-24,BSE.NS,0.02702702702702703,-0.08967377146430311,-0.09267377146430311,8.108108108108109e-05
2025-06-25,2025-07-24,CDSL.NS,0.02702702702702703,-0.044596906313769336,-0.04759690631376934,8.108108108108109e-05
2025-06-25,2025-07-24,HUDCO.NS,0.02702702702702703,-0.06598224592908664,-0.06898224592908664,8.108108108108109e-05
2025-06-25,2025-07-24,NBCC.NS,0.02702702702702703,-0.0981643695486406,-0.10116436954864061,8.108108108108109e-05
2025-06-25,2025-07-24,HDFCAMC.NS,0.02702702702702703,0.09271648697545598,0.08971648697545598,8.108108108108109e-05
2025-06-25,2025-07-24,RADICO.NS,0.02702702702702703,0.012898789496638363,0.009898789496638364,8.108108108108109e-05
2025-07-24,2025-08-25,^NSEI,0.02702702702702703,-0.00443214953434512,-0.00743214953434512,8.108108108108109e-05
